chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
2,2026-09-09T20:28:04.423082,Because he is a savior.,Porque es un salvador.,,625.1,33.5,0.0,665.0,1941.5,1276.5,5.9,0.96,0.0,0.0,1.0,,2.14,,,,1.0,29.1,138.6,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,2,silence,replay_realtime,1158.2,492.4,6.0,0.0,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
3,2026-09-09T20:28:09.156022,And what does a savior do? A savior saves.,¿Y qué hace un salvador? Un salvador salva.,,435.8,455.5,0.0,893.8,4803.7,3909.9,1.3,0.99,65.9,0.0,1.0,,4.13,,,,0.38,26.0,117.4,ct2-int8,0.75,14,37,44.07154204091057,225.75637500267476,229.76145800203085,stop,0,0.0,,2,en,es,replay,3,silence,replay_realtime,1379.1,484.5,1.3,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
4,2026-09-09T20:28:15.720602,God is a God who loves to save.,Dios es un Dios que ama salvar.,,1528.9,765.3,0.0,2304.0,6492.1,4188.1,3.2,0.99,43.7,0.0,1.0,,4.19,,,,1.0,30.8,155.8,ct2-int8,1.0,9,35,142.4000000115484,533.3482500282116,231.93716700188816,stop,0,0.0,,2,en,es,replay,4,silence,replay_realtime,2791.7,487.2,3.3,0.2,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
5,2026-09-09T20:28:22.329617,It's not because there's something wonderful in me that he desires to save me.,No es porque haya algo maravilloso en mí que él desee salvarme.,,1527.5,813.6,0.0,2352.0,7383.6,5031.6,2.9,0.99,37.6,0.0,0.85,,6.05,,,,1.0,90.2,216.8,ct2-int8,1.0,15,45,73.42408399563283,393.5014170128852,420.0624160002917,stop,0,0.0,,2,en,es,replay,5,silence,replay_realtime,2840.7,486.8,3.1,0.1,1.6,0.6,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
6,2026-09-09T20:28:29.843113,It's not because you or I have done something,No es porque tú o yo hayamos hecho algo,,148.7,1391.4,0.0,1671.0,8560.8,6889.9,0.5,0.99,47.3,0.0,0.85,,3.42,,,,0.56,98.3,245.8,ct2-int8,0.5,11,37,81.96283300640061,1134.4147080089897,257.027083018329,stop,0,0.0,,2,en,es,replay,6,smart_cut,replay_realtime,6258.1,4586.3,0.7,114.5,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
7,2026-09-09T20:28:35.285702,or will we will ever do something to earn us the status of God being willing to save us.,o ¿haremos algo alguna vez para ganarnos el estatus de que Dios esté dispuesto a salvarnos?,,2557.1,1233.1,0.0,4076.8,11699.6,7622.8,6.5,0.97,29.7,0.0,1.0,,7.58,,,,0.68,114.5,311.5,ct2-int8,0.75,23,46,133.69966601021588,435.48270798055455,797.6671250071377,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,4564.7,486.6,6.7,0.1,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
8,2026-09-09T20:28:36.406600,"No, God saves because he loves to save.","No, Dios salva porque le encanta salvar.",,535.2,1035.7,0.0,1646.3,2868.3,1221.9,1.7,0.98,32.5,0.0,1.0,,3.3,,,,0.62,72.0,249.0,ct2-int8,0.833,10,36,306.6843330161646,686.4489589934237,349.24104099627584,stop,0,0.0,,2,en,es,replay,8,silence,replay_realtime,2133.6,486.3,1.8,0.0,1.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
9,2026-09-09T20:28:45.375074,"Because out of the the riches of his grace that we were hearing about today, he loves and longs to save","Porque de las riquezas de su gracia de las que estábamos escuchando hoy, él ama y anhela salvar",,389.2,1823.3,0.0,2508.9,10484.6,7975.7,0.3,0.99,34.0,0.0,1.0,,7.94,,,,0.82,104.7,280.6,ct2-int8,0.875,23,48,148.96991703426465,1114.3177920021117,708.9756669593044,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,2590.1,78.4,1.0,0.1,2.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
10,2026-09-09T20:28:45.414058,Sinners.,Pecadores.,,299.9,30.8,0.0,896.0,2628.6,1732.6,4.5,0.95,0.0,0.0,1.0,,1.7,,,,0.0,25.7,169.7,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1381.1,484.5,4.7,560.2,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
11,2026-09-09T20:28:47.713208,He loves to save.,Le encanta salvar.,,743.4,48.5,0.0,793.4,2285.4,1492.0,1.0,0.98,0.0,0.0,1.0,,1.6,,,,1.0,20.6,183.3,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,11,silence,replay_realtime,1280.2,486.5,1.1,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
