chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
2,2026-09-09T20:41:29.780884,Because he is a savior.,Porque es un salvador.,,490.0,62.4,0.0,792.7,824.5,31.8,167.8,0.96,0.0,0.0,1.0,,2.14,,,,0.0,26.2,206.0,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,2,silence,replay_realtime,1398.2,604.6,235.4,0.0,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,167424,270336,48000,248832,0
3,2026-09-09T20:41:35.370521,And what does a savior do? A savior saves.,¿Y qué hace un salvador? Un salvador salva.,,1095.0,820.8,0.0,1987.6,5653.4,3665.8,6.9,0.99,28.4,0.0,1.0,,4.13,,,,0.38,46.5,224.4,ct2-int8,0.75,14,37,117.9029589984566,299.5955829974264,521.1837500100955,stop,0,0.0,,2,en,es,replay,3,silence,replay_realtime,2475.8,487.3,7.2,0.1,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,288768,486912,48000,465408,0
4,2026-09-09T20:41:40.474273,God is a God who loves to save.,Dios es un Dios que ama salvar.,,1149.5,657.6,0.0,1939.3,6049.0,4109.8,5.4,0.99,28.6,0.0,1.0,,4.19,,,,1.0,29.4,117.8,ct2-int8,1.0,9,35,121.2656669667922,317.4297499936074,340.15904198167846,stop,0,0.0,,2,en,es,replay,4,silence,replay_realtime,2427.6,487.6,5.7,113.9,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,532992,734208,48000,712704,0
5,2026-09-09T20:41:47.050115,It's not because there's something wonderful in me that he desires to save me.,No es porque haya algo maravilloso en mí que él desee salvarme.,,1140.1,750.8,0.0,1957.7,7404.0,5446.3,2.6,0.99,34.9,0.0,0.85,,6.05,,,,0.92,57.4,321.7,ct2-int8,1.0,15,45,119.88237500190735,298.1511250254698,452.6580409728922,stop,0,0.0,,2,en,es,replay,5,silence,replay_realtime,2443.4,483.7,2.8,42.7,1.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,758784,1049088,48000,1027584,0
6,2026-09-09T20:41:55.117566,It's not because you or I have done something,No es porque tú o yo hayamos hecho algo,,364.8,1337.8,0.0,1795.3,8975.8,7180.6,0.9,0.99,35.3,0.0,0.85,,3.42,,,,0.56,90.1,156.7,ct2-int8,0.5,11,37,150.60637501301244,1003.6029589828104,334.20475001912564,stop,0,0.0,,2,en,es,replay,6,smart_cut,replay_realtime,6414.9,4618.4,1.8,81.6,1.1,0.1,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1059840,1224192,48000,1224192,0
7,2026-09-09T20:41:58.096221,or will we will ever do something to earn us the status of God being willing to save us.,o haremos alguna vez algo para merecernos el estatus de que Dios está dispuesto a salvarnos.,,520.8,1228.8,0.0,1768.3,9392.4,7624.2,7.8,0.97,24.0,0.0,1.0,,7.58,,,,0.88,82.2,178.1,ct2-int8,0.875,22,46,118.84454201208428,289.2678329953924,939.5239999867044,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,2257.5,487.9,8.0,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1224192,1588224,48000,1566720,0
8,2026-09-09T20:42:01.018893,"No, God saves because he loves to save.","No, Dios salva porque ama salvar.",,439.5,626.5,0.0,1136.1,4300.0,3163.9,1.4,0.98,34.5,0.0,0.85,,3.3,,,,1.0,31.7,186.3,ct2-int8,1.0,9,36,176.9001250504516,344.57362501416355,281.96929197292775,stop,0,0.0,,2,en,es,replay,8,silence,replay_realtime,1628.2,491.3,1.5,0.1,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1600512,1758720,48000,1737216,0
9,2026-09-09T20:42:10.336159,"Because out of the the riches of his grace that we were hearing about today, he loves and longs to save","Porque de las riquezas de su gracia de las que estábamos escuchando hoy, él ama y anhela salvar",,183.5,2061.4,0.0,2266.7,10061.1,7794.4,0.8,0.99,27.2,0.0,1.0,,7.94,,,,0.82,85.0,158.7,ct2-int8,0.875,23,48,183.51758300559595,1188.0772500298917,873.3153339708224,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,2433.4,163.8,0.9,0.1,2.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1764864,2145792,48000,2145792,0
10,2026-09-09T20:42:10.591547,Sinners.,Pecadores.,,247.5,22.9,0.0,956.6,2688.5,1731.9,4.9,0.95,0.0,0.0,1.0,,1.7,,,,0.0,18.4,193.1,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1440.8,483.8,5.3,680.6,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2145792,2227200,48000,2205696,0
11,2026-09-09T20:42:12.496414,He loves to save.,Le encanta salvar.,,427.9,20.0,0.0,451.9,1897.9,1446.1,3.5,0.98,0.0,0.0,1.0,,1.6,,,,1.0,22.7,109.9,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,11,silence,replay_realtime,945.7,493.4,3.7,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2265600,2342400,48000,2320896,0
