chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
2,2026-09-09T20:16:15.380720,Because he is a savior.,Porque es un salvador.,,380.1,26.6,0.0,410.5,1606.6,1196.1,3.4,0.96,0.0,0.0,1.0,,2.14,,,,1.0,27.9,104.5,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,2,silence,replay_realtime,903.0,491.8,3.5,0.0,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
3,2026-09-09T20:16:21.330463,And what does a savior do? A savior saves.,¿Y qué hace un salvador? Un salvador salva.,,1036.6,759.8,0.0,1848.9,5985.3,4136.5,3.4,0.99,31.0,0.0,1.0,,4.13,,,,0.38,33.9,124.1,ct2-int8,0.75,14,37,112.72291699424386,283.72929204488173,476.0280419723131,stop,0,0.0,,2,en,es,replay,3,silence,replay_realtime,2340.9,490.8,3.7,0.0,1.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
4,2026-09-09T20:16:26.339271,God is a God who loves to save.,Dios es un Dios que ama salvar.,,1042.7,603.9,0.0,1707.9,5874.0,4166.1,3.0,0.99,36.8,0.0,1.0,,4.19,,,,0.83,32.4,126.7,ct2-int8,1.0,9,35,164.27404200658202,335.77737503219396,268.12991697806865,stop,0,0.0,,2,en,es,replay,4,silence,replay_realtime,2197.8,489.4,3.3,0.0,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
5,2026-09-09T20:16:33.361622,It's not because there's something wonderful in me that he desires to save me.,No es porque haya algo maravilloso en mí que él desee salvarme.,,1350.0,804.1,0.0,2162.9,7740.8,5577.9,5.0,0.99,32.4,0.0,0.85,,6.05,,,,1.0,62.6,146.9,ct2-int8,1.0,15,45,117.9360420210287,310.72183296782896,493.4149580076337,stop,0,0.0,,2,en,es,replay,5,silence,replay_realtime,2660.3,495.5,5.1,0.0,1.5,0.4,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
6,2026-09-09T20:16:41.013351,It's not because you or I have done something,No es porque tú o yo hayamos hecho algo,,165.7,1389.5,0.0,1623.7,8580.6,6956.9,0.1,0.99,27.0,0.0,0.85,,3.42,,,,0.56,90.7,169.3,ct2-int8,0.5,11,37,138.8899589655921,953.7685830146074,435.77758298488334,stop,0,0.0,,2,en,es,replay,6,smart_cut,replay_realtime,6216.2,4591.9,0.2,63.5,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
7,2026-09-09T20:16:43.895320,or will we will ever do something to earn us the status of God being willing to save us.,o haremos alguna vez algo para merecernos el estatus de que Dios está dispuesto a salvarnos.,,477.2,979.5,0.0,1468.2,9096.7,7628.4,5.7,0.97,32.5,0.0,1.0,,7.58,,,,0.88,86.5,161.1,ct2-int8,0.875,22,46,114.38491602893919,278.06162502383813,701.3964579673484,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,1962.3,492.2,6.0,0.0,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
8,2026-09-09T20:16:47.057767,"No, God saves because he loves to save.","No, Dios salva porque ama salvar.",,412.2,604.9,0.0,1083.0,4281.9,3198.9,2.4,0.98,36.5,0.0,0.85,,3.3,,,,1.0,39.4,124.5,ct2-int8,1.0,9,36,164.45941699203104,336.3571669906378,268.5194159857929,stop,0,0.0,,2,en,es,replay,8,silence,replay_realtime,1572.8,488.5,2.5,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
9,2026-09-09T20:16:57.058011,"Because out of the the riches of his grace that we were hearing about today, he loves and longs to save","Porque de las riquezas de su gracia de las que estábamos escuchando hoy, él ama y anhela salvar",,184.7,2485.4,0.0,2929.4,10716.8,7787.4,1.1,0.99,30.5,0.0,1.0,,7.94,,,,0.82,62.9,165.0,ct2-int8,0.875,23,48,436.99237500550225,1702.382041956298,783.0113750533201,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,3061.2,129.9,1.6,0.1,1.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
10,2026-09-09T20:16:57.108980,Sinners.,Pecadores.,,243.7,36.3,0.0,1372.7,3111.8,1739.1,5.3,0.95,0.0,0.0,1.0,,1.7,,,,0.0,23.0,101.4,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1864.2,491.1,314.5,777.9,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
11,2026-09-09T20:16:58.490092,He loves to save.,Le encanta salvar.,,331.5,18.4,0.0,352.5,1957.6,1605.1,2.1,0.98,0.0,0.0,1.0,,1.6,,,,1.0,20.0,235.7,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,11,silence,replay_realtime,845.4,492.5,2.3,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
