chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
2,2026-09-09T20:44:15.262230,Because he is a savior.,Porque es un salvador.,,324.9,29.2,0.0,357.0,1800.7,1443.8,2.5,0.96,0.0,0.0,1.0,,2.14,,,,1.0,25.0,99.9,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,2,silence,replay_realtime,849.0,491.3,2.5,0.0,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,167424,270336,48000,248832,0
3,2026-09-09T20:44:20.410704,And what does a savior do? A savior saves.,¿Y qué hace un salvador? Un salvador salva.,,528.9,465.6,0.0,999.8,5121.6,4121.9,3.0,0.99,62.3,0.0,1.0,,4.13,,,,0.38,31.0,183.9,ct2-int8,0.75,14,37,48.78074995940551,221.01545799523592,244.58229198353365,stop,0,0.0,,2,en,es,replay,3,silence,replay_realtime,1485.4,484.7,3.2,0.1,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,288768,486912,48000,465408,0
4,2026-09-09T20:44:25.870982,God is a God who loves to save.,Dios es un Dios que ama salvar.,,817.0,447.8,0.0,1301.3,5494.1,4192.8,6.9,0.99,42.0,0.0,1.0,,4.19,,,,1.0,29.7,247.0,ct2-int8,1.0,9,35,44.705750013235956,214.8459160234779,232.99683397635818,stop,0,0.0,,2,en,es,replay,4,silence,replay_realtime,1793.7,491.9,7.1,0.1,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,532992,734208,48000,712704,0
5,2026-09-09T20:44:32.651518,It's not because there's something wonderful in me that he desires to save me.,No es porque haya algo maravilloso en mí que él desee salvarme.,,947.7,561.2,0.0,1520.0,7288.2,5768.2,6.0,0.99,54.1,0.0,0.85,,6.05,,,,1.0,66.5,151.9,ct2-int8,1.0,15,45,54.0728330379352,265.55245800409466,295.5989589681849,stop,0,0.0,,2,en,es,replay,5,silence,replay_realtime,2014.2,492.5,6.3,0.2,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,758784,1049088,48000,1027584,0
6,2026-09-09T20:44:40.394766,It's not because you or I have done something,No es porque tú o yo hayamos hecho algo,,123.0,916.9,0.0,1072.3,8435.3,7363.0,0.1,0.99,61.0,0.0,0.85,,3.42,,,,0.56,93.9,187.5,ct2-int8,0.5,11,37,66.39029097277671,719.5628749905154,197.362958046142,stop,0,0.0,,2,en,es,replay,6,smart_cut,replay_realtime,5661.5,4588.5,0.2,28.7,0.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1059840,1224192,48000,1224192,0
7,2026-09-09T20:44:43.605757,or will we will ever do something to earn us the status of God being willing to save us.,o ¿haremos algo alguna vez para ganarnos el estatus de que Dios esté dispuesto a salvarnos?,,562.8,673.4,0.0,1247.2,8871.1,7624.0,7.9,0.97,52.7,0.0,1.0,,7.58,,,,0.68,82.6,350.1,ct2-int8,0.75,23,46,44.39387499587611,217.76895801303908,455.65000001806766,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,1736.5,487.7,8.1,0.1,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1224192,1588224,48000,1566720,0
8,2026-09-09T20:44:46.797587,"No, God saves because he loves to save.","No, Dios salva porque le encanta salvar.",,429.3,450.4,0.0,883.5,3957.8,3074.2,2.4,0.98,45.2,0.0,1.0,,3.3,,,,0.62,39.8,104.3,ct2-int8,0.833,10,36,43.587917054537684,212.34687499236315,238.02308301674202,stop,0,0.0,,2,en,es,replay,8,silence,replay_realtime,1376.3,492.0,2.6,0.0,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1600512,1758720,48000,1737216,0
9,2026-09-09T20:44:54.951380,"Because out of the the riches of his grace that we were hearing about today, he loves and longs to save","Porque de las riquezas de su gracia de las que estábamos escuchando hoy, él ama y anhela salvar",,170.4,776.4,0.0,948.8,8662.9,7714.1,0.1,0.99,53.2,0.0,1.0,,7.94,,,,0.82,86.1,165.2,ct2-int8,0.875,23,48,45.54816702147946,326.33050001459196,450.10079100029543,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,1018.1,67.4,0.2,0.0,1.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,1764864,2145792,48000,2145792,0
10,2026-09-09T20:44:55.984229,Sinners.,Pecadores.,,298.7,16.3,0.0,319.7,2050.6,1731.0,3.9,0.95,0.0,0.0,1.0,,1.7,,,,1.0,17.6,88.9,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,802.9,482.9,4.0,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2145792,2227200,48000,2205696,0
11,2026-09-09T20:44:58.457013,He loves to save.,Le encanta salvar.,,346.3,32.7,0.0,381.5,1988.5,1607.0,1.9,0.98,0.0,0.0,1.0,,1.6,,,,1.0,19.5,79.8,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,11,silence,replay_realtime,875.7,493.9,2.0,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav,2265600,2342400,48000,2320896,0
