chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
2,2026-09-09T20:32:07.043361,Because he is a savior.,Porque es un salvador.,,428.6,59.6,0.0,4882.1,13383.5,8501.4,3.1,0.96,0.0,0.0,1.0,,2.14,,,,0.0,33.7,207.2,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,2,silence,replay_realtime,11733.1,6847.8,4387.5,0.1,3.1,0.1,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
3,2026-09-09T20:32:08.582599,And what does a savior do? A savior saves.,¿Y qué hace un salvador? Un salvador salva.,,288.0,1215.3,0.0,6378.4,6416.8,38.4,4773.5,0.99,19.2,0.0,1.0,,4.13,,,,0.0,32.8,285.4,ct2-int8,0.0,14,37,190.9844590118155,452.9005420044996,762.4319170136005,stop,0,0.0,,2,en,es,replay,3,silence,replay_realtime,8760.3,2381.0,4774.0,80.4,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
4,2026-09-09T20:32:09.528324,God is a God who loves to save.,Dios es un Dios que ama salvar.,,467.1,932.0,0.0,4067.2,7317.4,3250.2,1805.0,0.99,20.1,0.0,1.0,,4.19,,,,0.08,48.9,358.7,ct2-int8,0.125,9,35,200.8447910193354,450.0983330071904,481.9466669578105,stop,0,0.0,,2,en,es,replay,4,silence,replay_realtime,4554.0,486.4,1805.2,849.9,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
5,2026-09-09T20:32:14.846131,It's not because there's something wonderful in me that he desires to save me.,No es porque haya algo maravilloso en mí que él desee salvarme.,,1437.3,1340.6,0.0,2819.8,8871.6,6051.8,13.6,0.99,18.1,0.0,0.85,,6.05,,,,0.92,65.6,1188.0,ct2-int8,1.0,15,45,177.67549998825416,458.7295830133371,881.8408329971135,stop,0,0.0,,2,en,es,replay,5,silence,replay_realtime,3311.8,489.6,13.8,0.2,1.6,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
6,2026-09-09T20:32:22.705751,It's not because you or I have done something,No es porque tú o yo hayamos hecho algo,,176.4,2118.4,0.0,2420.2,9433.6,7013.5,1.5,0.99,18.5,0.0,0.85,,3.42,,,,0.56,87.4,208.1,ct2-int8,0.5,11,37,202.6146249845624,1488.383000018075,630.0112919998355,stop,0,0.0,,2,en,es,replay,6,smart_cut,replay_realtime,7075.4,4654.1,1.7,83.2,0.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
7,2026-09-09T20:32:25.380796,or will we will ever do something to earn us the status of God being willing to save us.,o haremos alguna vez algo para merecernos el estatus de que Dios está dispuesto a salvarnos.,,557.9,1536.1,0.0,2126.3,9748.8,7622.5,8.1,0.97,21.7,0.0,1.0,,7.58,,,,0.88,70.5,308.3,ct2-int8,0.875,22,46,220.70866700960323,455.6349170161411,1080.425624968484,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,2614.5,486.4,8.2,0.1,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
8,2026-09-09T20:32:29.945589,"No, God saves because he loves to save.","No, Dios salva porque ama salvar.",,290.8,868.0,0.0,2969.3,6334.2,3364.9,486.1,0.98,23.5,0.0,0.85,,3.3,,,,1.0,57.9,248.1,ct2-int8,1.0,9,36,223.2197499834001,455.44233301188797,412.51720796572044,stop,0,0.0,,2,en,es,replay,8,silence,replay_realtime,3627.2,654.8,486.3,1203.9,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
9,2026-09-09T20:32:54.596523,"Because out of the the riches of his grace that we were hearing about today, he loves and longs to save","Porque de las riquezas de su gracia de las que estábamos escuchando hoy, él ama y anhela salvar",,248.1,19301.8,0.0,19673.3,27096.5,7423.3,0.1,0.99,22.1,0.0,1.0,,7.94,,,,0.82,66.4,181.6,ct2-int8,0.875,23,48,9996.431916952133,18225.96708300989,1075.7950419792905,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,19766.1,89.6,0.4,0.1,3.1,1.3,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
10,2026-09-09T20:32:54.887797,Sinners.,Pecadores.,,334.2,141.4,0.0,11149.2,20057.1,8907.9,21.0,0.95,0.0,0.0,1.0,,1.7,,,,,,,ct2-int8,,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,18809.4,7658.8,9725.8,947.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
11,2026-09-09T20:32:55.299239,He loves to save.,Le encanta salvar.,,326.9,42.0,0.0,11518.3,11529.5,11.2,10018.2,0.98,0.0,0.0,1.0,,1.6,,,,,,,ct2-int8,,,,,,,,,,,2,en,es,replay,11,silence,replay_realtime,16820.9,5302.2,11145.8,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(2_8_26)_BpIELcuh8O0.wav
