chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
1,2026-09-09T20:10:46.494065,Um and then also I noticed too that um,Um y también noté que um,,190.0,825.4,0.0,1016.7,8761.1,7744.3,0.1,0.97,28.4,0.0,0.7,,4.93,,,,0.29,62.6,162.1,ct2-int8,0.25,8,35,169.1876669647172,521.9490420422517,303.43799997353926,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,4101.2,3084.1,0.2,0.1,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
2,2026-09-09T20:10:52.653259,"that um when it comes to these two criminals, their their life started out","que um cuando se trata de estos dos criminales, su vida comenzó",,469.6,1694.9,0.0,2250.2,10259.0,8008.8,0.4,0.99,26.7,0.0,0.85,,5.18,,,,0.65,140.2,599.5,ct2-int8,0.688,15,41,197.42245797533542,1110.9758750535548,583.9012079522945,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,5076.4,2824.5,1.0,80.6,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
3,2026-09-09T20:10:57.129427,uh at least up until this moment their their lives souh uh ended the same but each one had a different destination.,uh al menos hasta este momento sus vidas uh terminaron igual pero cada uno tenía un destino diferente.,,192.7,1350.4,0.0,1545.0,9550.7,8005.7,0.1,0.98,30.7,0.0,0.85,,7.9,,,,0.83,62.9,189.5,ct2-int8,0.938,21,49,180.62662496231496,642.9900419898331,707.4130409746431,stop,0,0.0,,2,en,es,replay,3,smart_cut,replay_realtime,1648.6,101.6,0.2,0.0,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
4,2026-09-09T20:11:06.124156,Um and you can and we can see that uh one of them uh e th the the criminal on on the right even says uh this man has done nothing wrong.,Um y podemos y podemos ver que eh uno de ellos eh e el el criminal de la derecha incluso dice eh este hombre no ha hecho nada malo.,,1202.3,1357.1,0.0,2633.0,10641.9,8008.9,15.8,0.97,31.2,0.0,1.0,,8.0,,,,0.7,92.9,179.9,ct2-int8,0.769,31,59,117.55366600118577,327.70870899548754,1029.3692499981262,stop,0,0.0,,2,en,es,replay,4,hard_cut,replay_realtime,2643.3,8.8,16.0,51.9,1.4,0.1,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
5,2026-09-09T20:11:13.622854,And uh he knew that this man was was Christ. He knew that this man was there,Y eh él sabía que este hombre era Cristo. Sabía que este hombre estaba allí,,217.3,1780.2,0.0,2000.8,9969.9,7969.1,0.1,0.99,29.9,0.0,1.0,,6.46,,,,0.73,34.6,139.4,ct2-int8,1.0,18,44,190.8138750004582,1150.5202919943258,629.6400420251302,stop,0,0.0,,2,en,es,replay,5,smart_cut,replay_realtime,3550.0,1548.6,0.2,0.1,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
6,2026-09-09T20:11:19.576545,"to uh die for our sins, your s um uh my sins and your sins. And so tonight, uh one of these two criminals is","para morir por nuestros pecados, tus pecados y mis pecados. Y así esta noche, uno de estos dos criminales es",,498.3,1138.1,0.0,1652.2,9502.8,7850.6,13.7,0.97,31.4,0.0,1.0,,7.81,,,Y,0.47,267.0,184.1,ct2-int8,1.0,25,54,146.6425420367159,320.6417089677416,817.4758750246838,stop,0,0.0,,2,en,es,replay,6,silence,replay_realtime,2143.7,490.5,14.2,0.0,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
7,2026-09-09T20:11:27.574953,currently in paradise and the other one is uh is in the pit. But let me ask you this.,actualmente en el paraíso y el otro está en el pozo. Pero déjame preguntarte esto.,,188.7,1298.7,0.0,1489.1,9298.5,7809.4,0.1,0.99,28.6,0.0,1.0,,5.79,,,Y,0.45,116.6,182.1,ct2-int8,0.571,24,47,134.61291702697054,435.0658750045113,863.61866700463,stop,0,0.0,,2,en,es,replay,7,smart_cut,replay_realtime,3710.1,2220.0,0.2,0.1,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
8,2026-09-09T20:11:33.426387,"even though these two criminal even though these two were both criminals, one of them is saved and one of them isn't.","aunque estos dos criminales, aunque ambos eran criminales, uno de ellos es salvado y uno de ellos no.",,218.0,1326.8,0.0,1546.8,9559.4,8012.6,0.1,0.98,29.0,0.0,0.85,,5.73,,,,0.62,85.7,202.6,ct2-int8,0.812,25,52,121.94462498882785,435.6219999608584,891.2055420223624,stop,0,0.0,,2,en,es,replay,8,smart_cut,replay_realtime,3833.5,2284.5,0.3,0.1,2.1,0.2,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
9,2026-09-09T20:11:39.150125,"But tonight are uh if you're not saved, uh which where w where will your destination be?","Pero esta noche, eh, si no estás salvado, eh, ¿cuál será tu destino?",,207.1,1136.8,0.0,1542.1,9555.9,8013.8,0.1,0.97,29.1,0.0,0.85,,6.75,,,Y,0.44,86.6,167.9,ct2-int8,0.5,22,47,113.1697500240989,354.95412501040846,781.8209170363843,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,2805.2,1261.7,0.2,0.0,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
10,2026-09-09T20:11:39.212496,"So well, one of them","Así que, uno de ellos",,214.4,27.6,0.0,747.5,2867.5,2120.0,10.0,0.93,0.0,0.0,1.0,,2.08,,,,1.0,37.4,200.2,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1235.6,488.0,10.1,495.1,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
11,2026-09-09T20:11:46.819993,Uh and also,Uh y también,,106.7,24.2,0.0,133.9,8095.5,7961.5,0.1,0.93,0.0,0.0,1.0,,1.18,,,,0.1,135.0,204.6,ct2-int8,0.08,,,,,,,,,,2,en,es,replay,11,smart_cut,replay_realtime,6955.1,6821.0,0.2,0.0,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
12,2026-09-09T20:11:49.604084,"Um th neither of these guys kept the law, but one of them uh woke up with God and the other one woke up with the devil.","Ninguno de estos tipos respetó la ley, pero uno de ellos se despertó con Dios y el otro se despertó con el diablo.",,227.3,1493.8,0.0,1723.1,9737.9,8014.8,0.1,0.98,29.6,0.0,1.0,,6.82,,,,0.89,123.3,193.7,ct2-int8,0.957,31,55,116.75754096359015,421.7802079510875,1071.9865420251153,stop,0,0.0,,2,en,es,replay,12,smart_cut,replay_realtime,2923.2,1198.7,0.3,0.0,1.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
