chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
1,2026-09-09T20:13:31.294580,Um and then also I noticed too that um,Y luego también noté que um,,166.1,738.9,0.0,920.9,8703.7,7782.8,0.1,0.97,64.3,0.0,0.85,,4.93,,,,0.27,80.4,170.9,ct2-int8,0.25,8,35,68.13245901139453,597.5717079709284,141.31562504917383,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,3999.0,3077.7,0.4,11.8,0.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
2,2026-09-09T20:13:36.273977,"that um when it comes to these two criminals, their their life started out","eso um cuando se trata de estos dos criminales, sus vidas comenzaron",,201.1,692.5,0.0,969.9,8977.2,8007.3,0.1,0.99,45.9,0.0,1.0,,5.18,,,,0.33,78.1,165.9,ct2-int8,0.438,15,41,58.431500045117,346.63350001210347,345.8318749908358,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,3794.5,2823.3,0.2,71.9,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
3,2026-09-09T20:13:41.375340,uh at least up until this moment their their lives souh uh ended the same but each one had a different destination.,"al menos hasta este momento sus vidas terminaron igual, pero cada una tenía un destino diferente.",,167.2,712.7,0.0,881.9,8893.7,8011.8,0.0,0.98,55.8,0.0,0.85,,7.9,,,,0.88,80.6,188.0,ct2-int8,0.938,20,49,45.31820904230698,334.8362920223735,377.88099999306723,stop,0,0.0,,2,en,es,replay,3,smart_cut,replay_realtime,992.0,107.8,0.1,0.0,2.3,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
4,2026-09-09T20:13:49.637812,Um and you can and we can see that uh one of them uh e th the the criminal on on the right even says uh this man has done nothing wrong.,Um y tú y podemos ver que eh uno de ellos eh el criminal de la derecha incluso dice que este hombre no ha hecho nada malo.,,501.1,731.0,0.0,1243.1,9253.6,8010.5,9.8,0.97,57.7,0.0,0.85,,8.0,,,,0.64,108.8,175.9,ct2-int8,0.731,29,59,45.03445897717029,210.4903330327943,520.5500000156462,stop,0,0.0,,2,en,es,replay,4,hard_cut,replay_realtime,1254.7,10.5,10.1,0.0,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
5,2026-09-09T20:13:57.406789,And uh he knew that this man was was Christ. He knew that this man was there,Y eh él sabía que este hombre era era Cristo. Sabía que este hombre estaba allí,,227.4,661.5,0.0,889.8,8852.0,7962.1,0.1,0.99,52.9,0.0,1.0,,6.46,,,,0.73,46.6,155.8,ct2-int8,1.0,19,44,45.914667018223554,286.0105829895474,375.44224999146536,stop,0,0.0,,2,en,es,replay,5,smart_cut,replay_realtime,2431.8,1541.5,0.2,0.0,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
6,2026-09-09T20:14:03.999188,"to uh die for our sins, your s um uh my sins and your sins. And so tonight, uh one of these two criminals is","para morir por nuestros pecados, tus... son mis pecados y tus pecados. Y así, esta noche, uno de estos dos criminales es",,416.1,748.4,0.0,1173.8,9023.5,7849.6,8.2,0.97,57.5,0.0,1.0,,7.81,,,Y,0.43,148.0,172.3,ct2-int8,1.0,29,54,44.82745798304677,225.03041697200388,523.3625830151141,stop,0,0.0,,2,en,es,replay,6,silence,replay_realtime,1664.4,489.5,8.4,0.0,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
7,2026-09-09T20:14:12.015980,currently in paradise and the other one is uh is in the pit. But let me ask you this.,actualmente en el paraíso y el otro está en el pozo. Pero déjame preguntarte esto.,,177.3,853.8,0.0,1033.0,8876.8,7843.9,0.1,0.99,51.9,0.0,1.0,,5.79,,,Y,0.45,115.4,182.1,ct2-int8,0.571,24,47,57.67608300084248,373.8780840067193,479.9208330223337,stop,0,0.0,,2,en,es,replay,7,smart_cut,replay_realtime,3249.3,2215.4,0.2,0.1,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
8,2026-09-09T20:14:17.741174,"even though these two criminal even though these two were both criminals, one of them is saved and one of them isn't.","aunque estos dos criminales, aunque ambos eran criminales, uno de ellos se salva y el otro no.",,218.1,744.8,0.0,965.0,8973.0,8008.0,0.1,0.98,52.3,0.0,0.85,,5.73,,,,0.65,83.3,200.8,ct2-int8,0.688,23,52,51.16079101571813,288.0398750421591,456.7756250035018,stop,0,0.0,,2,en,es,replay,8,smart_cut,replay_realtime,3246.7,2279.9,0.2,0.0,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
9,2026-09-09T20:14:23.349418,"But tonight are uh if you're not saved, uh which where w where will your destination be?","Pero esta noche, eh si no estás salvo, eh ¿dónde será tu destino?",,203.4,643.2,0.0,848.8,8853.7,8004.9,0.1,0.97,53.9,0.0,0.85,,6.75,,,Y,0.37,92.7,177.0,ct2-int8,0.438,19,47,44.1036670235917,269.3687920109369,373.8653329783119,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,2103.0,1252.9,0.1,0.0,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
10,2026-09-09T20:14:23.676745,"So well, one of them","Así que, uno de ellos",,277.2,27.3,0.0,311.7,2430.3,2118.6,6.7,0.93,0.0,0.0,1.0,,2.08,,,,1.0,31.4,166.6,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,798.4,486.5,6.9,0.0,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
