chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
1,2026-09-09T20:38:45.430434,Um and then also I noticed too that um,Y luego también noté que um,,162.7,472.9,0.0,638.0,8389.6,7751.6,0.1,0.97,63.7,0.0,0.85,,4.93,,,,0.27,90.9,179.3,ct2-int8,0.25,8,35,57.7281669829972,331.1113329837099,141.75600005546585,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,3714.0,3075.5,0.2,0.1,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1536,238080,48000,238080,0
2,2026-09-09T20:38:50.665432,"that um when it comes to these two criminals, their their life started out","eso um cuando se trata de estos dos criminales, sus vidas comenzaron",,194.3,673.3,0.0,939.5,8947.6,8008.1,0.1,0.99,44.6,0.0,1.0,,5.18,,,,0.33,88.9,176.2,ct2-int8,0.438,15,41,58.3323750179261,318.270375020802,355.0439579994418,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,3765.0,2824.0,0.3,68.4,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,238080,486912,48000,486912,0
3,2026-09-09T20:38:55.813544,uh at least up until this moment their their lives souh uh ended the same but each one had a different destination.,"al menos hasta este momento sus vidas terminaron igual, pero cada una tenía un destino diferente.",,166.9,735.3,0.0,904.3,8911.0,8006.8,0.0,0.98,55.2,0.0,0.85,,7.9,,,,0.88,77.9,177.5,ct2-int8,0.938,20,49,49.69004198210314,354.3036250048317,381.0407500131987,stop,0,0.0,,2,en,es,replay,3,smart_cut,replay_realtime,1009.1,102.7,0.1,0.0,2.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,486912,866304,48000,866304,0
4,2026-09-09T20:39:04.147293,Um and you can and we can see that uh one of them uh e th the the criminal on on the right even says uh this man has done nothing wrong.,Um y tú y podemos ver que eh uno de ellos eh el criminal de la derecha incluso dice que este hombre no ha hecho nada malo.,,574.4,750.1,0.0,1338.7,9341.4,8002.7,12.7,0.97,62.2,0.0,0.85,,8.0,,,,0.64,124.0,202.6,ct2-int8,0.731,29,59,89.00645899120718,264.8340839659795,485.27229100000113,stop,0,0.0,,2,en,es,replay,4,hard_cut,replay_realtime,1342.9,2.7,13.2,0.0,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,866304,1250304,48000,1250304,0
5,2026-09-09T20:39:11.822072,And uh he knew that this man was was Christ. He knew that this man was there,Y eh él sabía que este hombre era era Cristo. Sabía que este hombre estaba allí,,216.2,664.3,0.0,881.7,8850.5,7968.8,0.1,0.99,51.9,0.0,1.0,,6.46,,,,0.73,45.2,149.7,ct2-int8,1.0,19,44,53.04416600847617,281.0689999605529,383.2759160432033,stop,0,0.0,,2,en,es,replay,5,smart_cut,replay_realtime,2425.6,1543.3,0.2,0.1,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1256448,1566720,48000,1566720,0
6,2026-09-09T20:39:18.518055,"to uh die for our sins, your s um uh my sins and your sins. And so tonight, uh one of these two criminals is","para morir por nuestros pecados, tus... son mis pecados y tus pecados. Y así, esta noche, uno de estos dos criminales es",,508.3,757.2,0.0,1276.3,9120.7,7844.4,9.4,0.97,55.8,0.0,1.0,,7.81,,,Y,0.43,169.7,174.2,ct2-int8,1.0,29,54,46.284542011562735,218.98362500360236,538.1827499950305,stop,0,0.0,,2,en,es,replay,6,silence,replay_realtime,1761.6,484.3,9.6,0.1,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1566720,1941504,48000,1920000,0
7,2026-09-09T20:39:26.983176,currently in paradise and the other one is uh is in the pit. But let me ask you this.,actualmente en el paraíso y el otro está en el pozo. Pero déjame preguntarte esto.,,224.1,1320.5,0.0,1583.4,9336.7,7753.4,0.2,0.99,47.5,0.0,1.0,,5.79,,,Y,0.35,71.6,730.9,ct2-int8,0.333,24,47,69.43845801288262,796.900250017643,523.5681660124101,stop,0,0.0,,2,en,es,replay,7,smart_cut,replay_realtime,3794.7,2210.4,2.8,30.3,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1950720,2228736,48000,2228736,0
8,2026-09-09T20:39:32.204867,"even though these two criminal even though these two were both criminals, one of them is saved and one of them isn't.","aunque estos dos criminales, aunque ambos eran criminales, uno de ellos se salva y el otro no.",,225.4,779.3,0.0,1007.0,9014.7,8007.7,0.1,0.98,51.8,0.0,0.85,,5.73,,,,0.65,82.9,183.8,ct2-int8,0.688,23,52,45.093791966792196,317.92283296817914,461.42620901810005,stop,0,0.0,,2,en,es,replay,8,smart_cut,replay_realtime,3288.4,2279.6,0.3,0.0,1.7,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2228736,2503680,48000,2503680,0
9,2026-09-09T20:39:38.083808,"But tonight are uh if you're not saved, uh which where w where will your destination be?","Pero esta noche, eh si no estás salvo, eh ¿dónde será tu destino?",,215.2,783.1,0.0,1157.5,9165.9,8008.3,0.1,0.97,43.6,0.0,0.85,,6.75,,,Y,0.37,103.1,180.4,ct2-int8,0.438,19,47,44.57437497330829,328.1010420178063,455.03775001270697,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,2415.3,1256.2,0.3,0.0,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2503680,2827776,48000,2827776,0
10,2026-09-09T20:39:38.175943,"So well, one of them","Así que, uno de ellos",,355.1,28.7,0.0,392.8,2507.4,2114.6,8.7,0.93,0.0,0.0,1.0,,2.08,,,,1.0,32.1,188.1,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,875.4,482.5,8.8,0.0,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2827776,2927616,48000,2906112,0
