1789156219,25882,55.2,99840
1789156224,25882,92.3,934592
1789156229,25882,17.7,1062160
1789156234,25882,13.0,889440
1789156239,25882,140.2,983536
1789156244,25882,74.0,1026448
1789156249,25882,50.3,1049968
1789156254,25882,55.1,632448
1789156259,25882,35.6,709840
1789156264,25882,55.0,709888
1789156269,25882,88.5,716448
1789156274,25882,37.3,540880
1789156279,25882,95.1,521936
1789156284,25882,47.9,506464
1789156289,25882,40.0,523408
1789156294,25882,24.7,545664
1789156299,25882,53.9,539872
1789156304,25882,15.9,549392
1789156309,25882,32.8,548560
1789156314,25882,115.2,550112
1789156319,25882,94.6,557200
1789156324,25882,73.4,585920
1789156329,25882,40.5,583632
1789156334,25882,113.0,356176
1789156339,25882,44.9,295216
1789156345,25882,74.2,331232
1789156350,25882,67.9,416816
1789156355,25882,34.8,465232
1789156360,25882,50.3,474656
1789156365,25882,137.0,475216
1789156370,25882,58.6,424496
1789156375,25882,69.4,461376
1789156380,25882,91.9,473984
1789156385,25882,56.7,488080
1789156390,25882,53.9,475744
1789156395,25882,34.9,495552
1789156400,25882,17.1,500176
1789156405,25882,77.9,491776
1789156410,25882,69.1,424592
1789156415,25882,92.9,483712
1789156420,25882,63.4,489152
1789156425,25882,75.4,497440
1789156430,25882,100.3,312736
1789156435,25882,116.3,352144
1789156440,25882,26.9,265952
1789156445,25882,20.1,348032
1789156450,25882,54.4,448944
1789156455,25882,26.0,363680
1789156460,25882,36.7,367168
1789156465,25882,56.0,423376
1789156471,25882,6.2,214080
1789156476,25882,49.5,394720
1789156481,25882,32.4,475136
1789156486,25882,47.5,477840
1789156491,25882,29.8,500512
1789156496,25882,86.7,517872
1789156501,25882,47.3,520688
1789156506,25882,77.3,508320
1789156511,25882,60.0,514672
1789156516,25882,48.3,522816
1789156521,25882,93.5,445424
1789156526,25882,28.2,467152
1789156531,25882,56.3,473184
1789156536,25882,74.2,440512
1789156541,25882,76.4,445072
1789156546,25882,53.5,460480
1789156551,25882,61.1,491440
1789156556,25882,54.2,510848
1789156561,25882,67.9,513984
1789156566,25882,28.3,453328
1789156571,25882,93.5,488096
1789156576,25882,75.8,461856
1789156581,25882,55.3,463376
1789156587,25882,12.4,324048
1789156592,25882,97.9,391728
